date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:14	1000/1000	---M-Z	200	added ('OK')	application/javascript	etag:%22d964211ca3fcbd5eb79d6c60a0cea37a%22	https://js.rbxcdn.com/56728bee27a8608f7bbd04016bc65d1b97165cdd2db169a8fd975dc92ffbb09b.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/56728bee27a8608f7bbd04016bc65d1b97165cdd2db169a8fd975dc92ffbb09b.js	(from https://www.roblox.com/fr/Login)
21:29:14	1139/1139	---M-Z	200	added ('OK')	application/javascript	etag:%22b3d0add6d913afacc94314192a3bf2ae%22	https://js.rbxcdn.com/98ca614c3a5d807baf7e365e41c364dcbf840a53e574b8064b126a375184c524.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/98ca614c3a5d807baf7e365e41c364dcbf840a53e574b8064b126a375184c524.js	(from https://www.roblox.com/fr/Login)
21:29:16	210907/210907	---MCZ	200	added ('OK')	application/javascript	etag:%2223e8d3b0ff39d055f3154db5c868e22e%22	https://js.rbxcdn.com/23e8d3b0ff39d055f3154db5c868e22e.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/23e8d3b0ff39d055f3154db5c868e22e.js	(from https://www.roblox.com/fr/Login)
21:29:16	39384/39384	---M--	200	added ('OK')	font/woff2	etag:%22b386a6bfc8e0077f1187ab64fa702226%22	https://css.rbxcdn.com/0c3888fdbedf9db3.woff2	C:/Users/johan/Downloads/roblox-login/css.rbxcdn.com/0c3888fdbedf9db3.woff2	(from https://css.rbxcdn.com/7fc67d38cfc34042bc251805f872ff5be8cb502859e943e5dda46fc3907375c6.css)
21:29:17	39384/39384	---M--	200	added ('OK')	font/woff2	etag:%22b386a6bfc8e0077f1187ab64fa702226%22	https://css.rbxcdn.com/b386a6bfc8e0077f1187ab64fa702226-BuilderSans-Thin.woff2	C:/Users/johan/Downloads/roblox-login/css.rbxcdn.com/b386a6bfc8e0077f1187ab64fa702226-BuilderSans-Thin.woff2	(from https://css.rbxcdn.com/df9a376522ff4c39e6d789e6bcc3d4b2817bdac228020ee6fb4990807031f319.css)
21:29:17	14568/14568	---M--	200	added ('OK')	image/png	etag:%222264d9a3c1a5db37835a57235613e4cd%22	https://images.rbxcdn.com/2264d9a3c1a5db37835a57235613e4cd-400_440.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/2264d9a3c1a5db37835a57235613e4cd-400_440.png	(from https://css.rbxcdn.com/f7426ffb19aeabf7440648f7fc7658fa8f823763664f8b667d9b45c8007e3d20.css)
21:29:17	0/-1	---M--	302	error ('')			https://www.roblox.com/fr/info/privacy?locale=fr_fr	C:/Users/johan/Downloads/roblox-login/www.roblox.com/fr/info/privacy.c10ce0.delayed	(from https://www.roblox.com/fr/login)
21:29:18	71754/71754	---M--	200	added ('OK')	image/png	etag:%22cb04de555d30ed7594e36da2754cc2b1%22	https://images.rbxcdn.com/cb04de555d30ed7594e36da2754cc2b1-parent-email-dark.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/cb04de555d30ed7594e36da2754cc2b1-parent-email-dark.png	(from https://css.rbxcdn.com/9efc74e20b0735025990b89e70c22857c647df5879703815d5d11b9ae6f6aaee.css)
21:29:18	14975/14975	---M--	200	added ('OK')	image/png	etag:%2297ece22f2b7d710a8d25196c871af810%22	https://images.rbxcdn.com/97ece22f2b7d710a8d25196c871af810-lock.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/97ece22f2b7d710a8d25196c871af810-lock.png	(from https://css.rbxcdn.com/07d73a0fe62fadd30d32d50e667e7d6b62ca192cd258a1c3340cb262de401d72.css)
21:29:20	60217/60217	---M--	200	added ('OK')	image/png	etag:%221081a7ee689c21130c51515c4f404fb9%22	https://images.rbxcdn.com/1081a7ee689c21130c51515c4f404fb9-moneystack.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/1081a7ee689c21130c51515c4f404fb9-moneystack.png	(from https://css.rbxcdn.com/1b6cc6d0699561a61e37bae3b8fa07ac5698c5c41c8375ac4f907e189be90232.css)
21:29:20	445602/445602	---M--	200	added ('OK')	image/jpeg	etag:%22782b7fc18a24ee997efd9a7f02fa4bf9%22	https://images.rbxcdn.com/782b7fc18a24ee997efd9a7f02fa4bf9-bg_08072019.jpg	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/782b7fc18a24ee997efd9a7f02fa4bf9-bg_08072019.jpg	(from https://css.rbxcdn.com/d47b8eefce509dac9b478c8602d901170bbeedd3dad170867869f3cad3f49f15.css)
21:29:21	34884/34884	---M--	200	added ('OK')	image/png	etag:%221bcca464c2031dbd7afc2f89aef781da%22	https://images.rbxcdn.com/1bcca464c2031dbd7afc2f89aef781da-shield.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/1bcca464c2031dbd7afc2f89aef781da-shield.png	(from https://css.rbxcdn.com/3bca47a98d58fdf98a7063c4f3b390671e5326ed559813887f3945876c997da6.css)
21:29:21	77050/77050	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2019:29:24%20GMT	https://www.roblox.com/fr/download	C:/Users/johan/Downloads/roblox-login/www.roblox.com/fr/download-2.html	(from https://www.roblox.com/fr/Download)
21:29:21	2495/2495	---M-Z	200	added ('OK')	text/css	etag:%22e2a07441a3e8f7ad331bdb71c4237851%22	https://css.rbxcdn.com/978a01a00b451c0b6a5395b76d4d864b3b581b40bff1a9da1bab9b50fb24d979.css	C:/Users/johan/Downloads/roblox-login/css.rbxcdn.com/978a01a00b451c0b6a5395b76d4d864b3b581b40bff1a9da1bab9b50fb24d979.css	(from https://www.roblox.com/fr/Download)
21:29:22	3680/3680	---M-Z	200	added ('OK')	text/css	etag:%2283e8604de961bb870618792523a1fb97%22	https://css.rbxcdn.com/3df1e9b65ad46f5d8a4d2e4e166f4c71978d320c25da5730afded0920bda7e9c.css	C:/Users/johan/Downloads/roblox-login/css.rbxcdn.com/3df1e9b65ad46f5d8a4d2e4e166f4c71978d320c25da5730afded0920bda7e9c.css	(from https://www.roblox.com/fr/Download)
21:29:22	0/-1	---M--	302	error ('')			https://www.roblox.com/fr/info/privacy?locale=fr_fr	C:/Users/johan/Downloads/roblox-login/www.roblox.com/fr/info/privacy.ca0ce0.delayed	(from https://www.roblox.com/fr/Download)
21:29:22	13500/13500	---M-Z	200	added ('OK')	application/javascript	etag:%22cf15bb398cc9df8cca70038accf41583%22	https://js.rbxcdn.com/cf15bb398cc9df8cca70038accf41583.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/cf15bb398cc9df8cca70038accf41583.js	(from https://www.roblox.com/fr/Download)
21:29:22	242/242	---M--	200	added ('OK')	application/javascript	etag:%228692b4e0d8aaa3385526a1dd14782456%22	https://js.rbxcdn.com/493054d5c3aa6bf566864be1b37ae750f838a758b08dfe8a93437dc9cb805df3.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/493054d5c3aa6bf566864be1b37ae750f838a758b08dfe8a93437dc9cb805df3.js	(from https://www.roblox.com/fr/Download)
21:29:22	3993/3993	---M-Z	200	added ('OK')	application/javascript	etag:%22b44f5936e88c59ab5845b5493aa31f9d%22	https://js.rbxcdn.com/4652c641e1e7ed4ee02a6a543ddffd3538624fb076835cf24e512c1b458725a6.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/4652c641e1e7ed4ee02a6a543ddffd3538624fb076835cf24e512c1b458725a6.js	(from https://www.roblox.com/fr/Download)
21:29:23	4268/4268	---M-Z	200	added ('OK')	application/javascript	etag:%2249b64f1f17f1d455aac0edb5ac387964%22	https://js.rbxcdn.com/db3a07b2743f91970efcf94fc9a792c2c0b8a9a058062c0e8a456ee88ca78a2b.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/db3a07b2743f91970efcf94fc9a792c2c0b8a9a058062c0e8a456ee88ca78a2b.js	(from https://www.roblox.com/fr/Download)
21:29:23	14930/14930	---M-Z	200	added ('OK')	application/javascript	etag:%221b62565db994d4cce6db923878f68c6e%22	https://js.rbxcdn.com/5fe3927d3dd9f11e143012ed1dae011d8155ff46bfd862fb6a730fd1633d5887.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/5fe3927d3dd9f11e143012ed1dae011d8155ff46bfd862fb6a730fd1633d5887.js	(from https://www.roblox.com/fr/Download)
21:29:23	16773/16773	---M-Z	200	added ('OK')	application/javascript	etag:%22f264565b60e5a4013d0be7ca3885fcb1%22	https://js.rbxcdn.com/d5e36fcf1df8ff8c8a85aac2320a0491bed8a43bbba0b080c7812669e40d9598.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/d5e36fcf1df8ff8c8a85aac2320a0491bed8a43bbba0b080c7812669e40d9598.js	(from https://www.roblox.com/fr/Download)
21:29:23	10572/10572	---M-Z	200	added ('OK')	application/javascript	etag:%2220767f9ae2f02ae2e5f35e5080e26ccc%22	https://js.rbxcdn.com/f8d49be91cc7f55dd05622a6fdcab4812b97e55ebbe21b06ced17c649fad62a7.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/f8d49be91cc7f55dd05622a6fdcab4812b97e55ebbe21b06ced17c649fad62a7.js	(from https://www.roblox.com/fr/Download)
21:29:24	169369/169369	---M-Z	200	added ('OK')	application/javascript	etag:%22f21526aad44d0143229d246952197994%22	https://js.rbxcdn.com/f21526aad44d0143229d246952197994.js	C:/Users/johan/Downloads/roblox-login/js.rbxcdn.com/f21526aad44d0143229d246952197994.js	(from https://www.roblox.com/fr/Download)
21:29:24	243/243	---M--	403	error ('Forbidden')	application/xml	date:Thu,%2017%20Jul%202025%2019:29:29%20GMT	https://css.rbxcdn.com/robots.txt		(from https://css.rbxcdn.com/7fc67d38cfc34042bc251805f872ff5be8cb502859e943e5dda46fc3907375c6.css)
21:29:25	0/-1	---M--	302	error ('')			https://www.roblox.com/fr/info/privacy?locale=fr_fr	C:/Users/johan/Downloads/roblox-login/www.roblox.com/fr/info/privacy.d30ce0.delayed	(from https://www.roblox.com/fr/download)
21:29:25	20014/20014	---M--	200	added ('OK')	image/png	etag:%22cd61247b93abe1751dd351fa6c253ba1%22	https://images.rbxcdn.com/cd61247b93abe1751dd351fa6c253ba1-install-app-qr-code.png	C:/Users/johan/Downloads/roblox-login/images.rbxcdn.com/cd61247b93abe1751dd351fa6c253ba1-install-app-qr-code.png	(from https://css.rbxcdn.com/3df1e9b65ad46f5d8a4d2e4e166f4c71978d320c25da5730afded0920bda7e9c.css)
